제목,언론사,날짜,본문,링크
현대차가 그리는 미래형 세단의 표준이란 이런 것… 6년 만의 '디 올 뉴 그랜저' 출시,CNB저널(문화경제),입력 2022.11.14 14:47:12,본문 추출 실패,https://weekly.cnbnews.com/news/article.html?no=146670
"현대차, 인니 광물자원 기업 '아다로미네랄'과 알루미늄 공급 계약 | 서울경제",서울경제,입력,본문 추출 실패,https://www.sedaily.com/NewsView/26DLZVGSN9
“사전계약만 11만대”…현대차 ‘디 올 뉴 그랜저’ 공식 출시 - 대한경제,대한경제,11/02/2020,본문 추출 실패,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202211141106520140989
"현대차·기아, 글로벌 스타트업과 '오픈 이노베이션 라운지' 개최",머니투데이,2022.11.13 09:59,"2022.11.13 09:59문서프린트글자크기글자크기조절가나다라마가나다라마가나다라마가나다라마가나다라마이달 11일 서울 양재동 현대차 본사에서 국내외 유망 스타트업들과의 신기술 실증 시연을 위한 '2022 오픈 이노베이션 라운지(Open Innovation Lounge)'를 찾은 현대차·기아 임직원들이 전시된 기술을 관람하고 있다. /사진제공=현대차그룹현대차(191,800원 ▼2,000 -1.03%)와기아(89,700원 ▼1,100 -1.21%)가 글로벌 스타트업과 협업해 발굴한 고객 관점의 상품화 유망 혁신기술과 아이디어가 한자리에 모였다.현대차·기아는 서울 서초구 본사에서 국내외 유망 스타트업들과의 신기술 실증 시연을 위한 '2022 오픈 이노베이션 라운지'를 개최했다고 13일 밝혔다.오픈 이노베이션 라운지는 상품 및 신기술 개발 문화를 조성하기 위해 2019년 시작된 개방형 혁신 상품개발 플랫폼이다.올해 행사에서는 '함께 미래를 만들다'라는 슬로건으로 스타트업과 진행한 협업 결과물 13점과 현대차·기아가 상상하는 150건의 미래 기술 시나리오를 전시했다.현대차·기아는 이번 오픈 이노베이션 라운지를 위해 약 200개의 글로벌 스타트업을 대상으로 △상품 고객 만족 △기술 구현 가능성 △기술 독창성을 기준으로 평가한 후 최종 한국 2팀, 북미 7팀, 유럽 3팀, 이스라엘 1팀 등 총 13팀을 선정했다.스타트업들이 구현한 기술은 △PoC(Proof of Concept, 기술 검증) 존 △파트너스 존 △선행개발 존 등 세 가지 구역에 전시했다.'PoC존'에서는 △주변 소음을 제거해 운전자의 목소리만 인식하는 사운드 솔루션 △사용자의 표정이나 시선을 분석해 감정을 인식하는 AI 시스템 등이 전시됐다.올해 신설된 '파트너스존'에서는 현대차 미국기술연구소(HATCI) 및 협력사 에스엘 등과 협업해 시제품 개발 이전에 검증을 거친 신기술들의 전시가 이뤄졌다.△어떠한 재질이든 터치 인식이 가능하도록 바꾸는 초소형 초음파 센서 △신소재를 사용해 높은 정확도를 지닌 초소형 근접센서 △보다 자유로운 디자인이 가능한 투명한 면 형태의 광원 등을 전시했다.'선행개발존'에서는 차량 외부에 다양한 면적으로 적용 가능한 태양광 필름의 향상된 개발 결과를 공유했다. 이 기술은 지난해 오픈 이노베이션 라운지를 통해 임직원의 긍정적인 평가를 받은 뒤 내부 협의를 거쳐 실제 개발을 진행 중이다.김제영 현대차·기아 상품본부장 전무는 ""4년간의 노하우로 올해 전문 기술 업체와의 사전 검증 협업 체계를 새롭게 수립하는 등 선행 단계 상품 개발 체계를 강화하고 있다""며 ""미래 모빌리티 생태계를 선도하는 기업을 목표로 오픈 이노베이션 라운지를 통해 새로운 방식에 끊임없이 도전할 것""이라고 말했다.<저작권자 © ‘돈이 보이는 리얼타임 뉴스’ 머니투데이. 무단전재 및 재배포, AI학습 이용 금지>공감0%비공감0%머니투데이 주요뉴스계엄에 15.6조 팔아 치운 외인…파면·원화 강세로 돌아올까?지워지는 尹 흔적들…봉황기 내리고사진 태우더니 홈피도 중단대통령실이 윤석열 전 대통령 파면 이틀째를 맞아 대통령실 홈페이지와 소셜미디어(SNS) 등에서 윤 전 대통령의 흔적 지우기에 나섰다.  대통령실 홈페이지는 5일 오전 운영이 중단됐다. 이날 오후 3시 현재 대통령실 홈페이지에 접속하면 '현재 대통령실 홈페이지 서비스 점검 중입니다. 점검 기간 동안 홈페이지 서비스가 일시중단됩니다'라는 안내문만 나온다.    홈페이지는 윤 전 대통령 소개 및 '사실은 이렇습니다', '국정과제','카드뉴스' 등 메뉴 등으로 이뤄져 있으며, 그동안 윤 정부 정책을 알리는 창구 역할을 해왔다.  윤 전 대...尹 파면나경원, 관저서 尹과 차담…""어려운 시기에 역할 해줘 고맙다""조기대선김문수, 이르면 8일 대선출마 선언...""욕심 없지만 나라 이렇겐 안 돼""침체 공포""주먹구구식 관세율, 트럼프가 직접 선택한 것""PADO달러의 패권은 유지될 것인가?아빠 집 5억 싸게 샀는데…시가보다 싼 매입 증여세 내라?2차대전 핵무기 개발처럼…트럼프가 불 지핀 AI 패권 전쟁강호동이 샀던 그 건물, '166억' 매수자는 MC몽고작 한모금 마시고 목숨 잃었다…코코넛워터 비극, 왜?커피 즐겨 마셨더니 장 속에 '이런 균' 8배 더",http://news.mt.co.kr/mtview.php?no=2022111309510258742
KPI뉴스 - 현대차 '디 올 뉴 그랜저' 출시…사전 대기자만 10만 명 넘어,KPI뉴스,2022.11.14.,본문 추출 실패,https://www.kpinews.kr/newsView/179549117238959
"[SR자동차] 현대차, '디 올 뉴 그랜저' 출시…15일부터 판매",SR타임스,2022.11.14.,기자명이승열 기자입력 2022.11.14 14:37댓글 0,http://www.srtimes.kr/news/articleView.html?idxno=123655
"금호타이어, 현대차 7세대 그랜저에 공명음 저감 타이어 공급",뉴스1,2022.11.14 오전 11:19,"(금호타이어 제공)권혜정 기자""갈고닦은 기술 펼쳐요""…2025 서울기능경기대회 개최산불피해 복구 종합대책 마련 위한 '범정부 복구대책지원본부' 회의",https://www.news1.kr/articles/4863497
"현대차, 프리미엄 세단 '디 올 뉴 그랜저' 출시....대기물량만 10만대 넘어 - 워크투데이",워크투데이,2022.11.14.,"인포테인먼트 시스템 ccNC 최초 탑재 및 무선 업데이트(OTA) 대상 범위 확대한국적 이미지 반영한 컬러 구성과 친환경 소재 적용'디 올 뉴 그랜저'현대자동차가 고품격 세단 ‘디 올 뉴 그랜저(이하 그랜저)’를 14일 출시했다.이번에 출시한 그랜저는 대담한 존재감과 이에 걸맞은 혁신적 신기술로 빚어진 현대차의 플래그십 세단이다.장재훈 현대차 대표이사 사장은 온라인으로 진행된 출시 행사에서 “수 년 동안 심혈을 기울여 개발해 온 신형 그랜저는 지난 36년간 그랜저가 쌓아온 브랜드 헤리티지 위에 시장의 기대와 예상을 뛰어넘는 첨단 신기술과 디테일이 더해진 혁신적인 모델”이라며 “지금까지의 그랜저와는 차원이 다른 새로운 경험을 선사해드릴 것”이라고 강조했다.그랜저는 △2.5리터 GDI 가솔린 △3.5리터 GDI 가솔린 △3.5리터 LPG △1.6리터 가솔린 터보 하이브리드 4가지 엔진 라인업으로 출시됐다.가격은 △가솔린 3,716만 원 △하이브리드 4,376만 원 △LPG 3,863만 원부터 시작된다.현대차는 파워트레인 모델 별 트림 구성이 각기 달라 사양 선택이 어려웠던 기존 선택 과정의 불편함을 해소하기 위해 그랜저에 트림의 기본 품목을 일치시킨 ‘수평형 트림구조’를 선보였다.이에 따라 고객은 원하는 사양에 알맞은 트림을 우선적으로 고른 후 원하는 파워트레인을 선택할 수 있게 돼 구매 편의성이 대폭 향상될 것으로 기대된다.그랜저는 세대와 취향, 기술과 감성의 경계를 허무는 강렬한 이미지로 재탄생했다고 현대차는 소개했다.이전 모델 대비 45mm 길어진 5,035mm의 전장을 비롯해 휠베이스와 리어 오버행을 각각 10mm, 50mm를 늘리며 가장 아름다운 비례를 갖춤과 동시에 넉넉한 공간성까지 확보했다.전면부는 차별화된 고급감으로 플래그십 대형세단의 디자인 정체성과 웅장한 존재감이 강조된 것이 특징이다.미래지향적 디자인의 ‘끊김없이 연결된 수평형 LED 램프’는 DRL과 포지셔닝 램프, 방향지시등 기능이 통합된 단절감 없는 일체형 구조로 개발됐다.측면부는 2,895mm에 달하는 동급 최장 휠베이스와 롱 후드의 완벽한 비례감을 선사한다.특히, 프레임리스 도어와 플러시 도어 핸들을 결합한 수평적 원라인의 사이드 바디로 우아한 대형세단의 기품을 발산한다.후면부는 슬림한 라인의 리어 콤비램프와 함께 볼륨감이 강조된 디자인을 통해 전면부의 미래지향적인 이미지를 한껏 풍부하게 매듭짓는다.캘리그래피 트림은 전면부의 파라메트릭 패턴 라디에이터 그릴에 차별화된 패턴을 적용해 와이드한 이미지를 강조했고 전용 알로이 휠과 DLO 몰딩으로 프리미엄한 감성을 더한다. 리어 범퍼 하단 가니시는 다크크롬 컬러로 한껏 멋을 냈다.또 그랜저는 18인치부터 20인치까지 총 5종의 새로운 디자인의 휠을 선보인다.여기에 1세대 그랜저의 휠 디자인을 모티브로 한 ‘20인치 고휘도 스퍼터링 휠’을 커스터마이징 옵션으로 추가해 그랜저만의 헤리티지를 한껏 강조하면서도 더욱 중후한 느낌을 더해준다.■ 고품격 감성 공간에 한국적 이미지를 반영한 컬러 및 친환경 소재 적용현대차는 그랜저의 실내를 △인체공학 기반의 슬림화 디자인 △버튼 최적화 등으로 사용 편의성을 제고하고 △넓은 공간감의 군더더기 없는 고품격 감성 공간으로 연출하는데 주안점을 뒀다.실내 전면의 12.3인치 대화면 클러스터와 내비게이션을 일체형으로 통합한 디스플레이는 중앙 하단에 위치한 풀터치 10.25인치 대화면 통합 공조 콘트롤러와 조화를 이루며 하이테크한 이미지를 뽐낸다.스티어링 휠로 이동한 컬럼타입 전자식 변속 레버는 변속 조작 방향과 구동 방향을 일치시켜 직관적인 조작이 가능하도록 했고, 이로 인해 여유로워진 콘솔부는 실내 공간 활용성을 높여준다.1세대 그랜저의 향수를 담은 원 스포크 스타일 스티어링 휠은 중앙부 혼커버에 운전자의 차량 조작 및 음성인식과 연계 작동하는 4개의 LED 조명을 적용해 편의성을 향상시키고 미래지향적인 이미지를 더해준다.또 크래시패드 가니시부에 적용된 ‘인터랙티브 앰비언트 무드램프’는 드라이브모드, 음성인식, 웰컴∙굿바이 시퀀스 등 각 시나리오 별로 다양한 색을 발산해 마치 탑승객과 차가 항상 연결돼 있는 느낌을 더해주고 한층 여유로운 주행 경험을 제공한다.현대차는 그랜저의 헤리티지 위에 한국적 이미지를 얹어 친환경 기술과 고급스러운 감성으로 재해석한 새로운 컬러와 소재를 적용했다.외장 컬러는 전통공예인 방짜유기와 자연의 대나무에서 영감을 받은 유기 브론즈 매트와 밤부 차콜 그린 펄 등 두 색상을 대표 컬러로 개발했다.이는 라디에이터 그릴 등에 적용된 티탄 룩 크롬과 조화를 이뤄 그랜저의 헤리티지와 현대적인 고급감 사이의 균형을 절묘하게 잡아준다.내장의 경우 한국적 패턴을 가미한 나파 퀄팅과 가죽 소재는 리얼 우드 및 알루미늄 내장재와 어우러져 유려한 스타일을 완성한다.그랜저의 내∙외장 곳곳에는 △항균처리된 인조가죽 △천연염색이 적용된 나파가죽 △친환경 안료 컬러 등 지속가능한 기술을 적용함으로써 친환경 가치까지 고려했다.■ 끊임없이 진화하는 자동차, 디 올 뉴 그랜저그랜저는 인포테인먼트 시스템 ccNC(connected car Navigation Cockpit)를 최초로 탑재하고 무선(OTA) 소프트웨어 업데이트 대상 범위를 대폭 확대하는 등 새로운 모빌리티 시대의 자동차로서 완전히 새로운 이동 경험을 제공한다.카페이와 연계해 세계 최초로 실물 하이패스 카드 없이 유료도로 통행료 결제가 가능한 ‘e hi-pass(하이패스)’를 적용하고, 스마트폰처럼 화면 상단을 쓸어내려 사용자가 즐겨 찾는 메뉴를 사용할 수 있는 ‘퀵 컨트롤’을 새롭게 추가했다.현대차는 그랜저의 무선 소프트웨어 업데이트 적용 범위를 기존 핵심부품뿐만 아니라 주요 편의기능까지 대폭 확대했다.이로써 고객은 서비스 거점에 직접 방문하지 않아도 원하는 시간과 장소에서 다양한 기능을 추가하거나 업그레이드할 수 있게 돼 차량을 항상 최신의 상태로 유지하는 것은 물론 높은 잔존가치도 기대할 수 있게 됐다.그랜저는 이를 포함해 △빌트인 캠 2 △디지털키 2 △실내 지문 인증 시스템 등 시장의 기대를 뛰어넘는 다채로운 첨단 기술들이 적용됐다.그랜저에 최초로 적용된 빌트인 캠 2는 △초고화질 QHD 해상도 카메라를 탑재하고 △음성녹음 △대용량 외장 마이크로 SD 메모리 카드 지원 △블루링크 앱을 통한 손쉬운 영상 확인 △내장 Wi-Fi를 통한 스마트폰 영상 확인 등 다양한 기능들을 보강해 상품성을 강화했다.디지털 키 2는 운전자가 스마트키 없이 스마트폰을 지니고 차량으로 다가서면 아웃사이드 도어핸들이 자동으로 돌출되며 탑승을 편리하게 도와주고, 시동도 걸 수 있다. 운전자 프로필과 연계한 맞춤형 설정도 가능하다.또한 지문 인증 시스템을 활용하면 사전 등록된 지문을 인증하는 것만으로도 출입부터 시동까지 가능하고, 카페이 전자결제도 안전하게 사용이 가능하다. 디지털 키 2와 마찬가지로 운전자 프로필 연계도 지원한다.BOSE 프리미엄 사운드 시스템과 함께 적용된 ‘사운드 트루(Sound True)’ 기술은 손실 압축된 저음질의 미디어 소스를 고음질로 변환 가능하다.그랜저는 차량에서 발생하는 노면 소음을 계측해 실시간으로 역위상의 음파를 생성해 노면 소음을 상쇄하는 ANC-R과 전 사양에 흡음타이어와 분리형 카페트를 적용해 주행 중 발생하는 투과음과 공명음을 효과적으로 감소시킨다.또 프레임리스 도어 주변 윈드 노이즈를 차단해주는 3중 실링 구조를 적용하고, 오페라 글라스를 포함한 전 석에 이중 접합 차음 유리를 장착했으며, A필라에 위치한 픽스드 글라스(고정창) 두께를 6mm로 증대하는 등 프리미엄 세단에 걸맞은 높은 정숙성을 완성해냈다.전방 카메라 및 내비게이션을 통해 전방의 노면 정보를 미리 인지하고, 이에 적합한 서스펜션 제어를 통해 최적의 승차감을 제공하는 프리뷰 전자제어 서스펜션도 탑재했다.이 외에도 스트레칭 하는 듯한 효과를 주는 운전석 릴렉스 컴포트 시트는 복잡한 일상 속의 피로를 저감시켜주고, 원터치 스위치 작동만으로 최대 8도까지 눕혀지는 2열시트 리클라이닝 기능과 뒷좌석 전동식 도어 커튼을 동급 최초로 적용해 여유 있고 안락한 이동을 선사한다.하이브리드 모델에는 구동 모터를 활용해 주행 성능을 향상시키는 한 차원 진보한 하이브리드 시스템인 ‘E-모션 드라이브’가 적용됐다.E-모션 드라이브는 속도 방지턱 등 불규칙한 노면에서 부드러운 승차감을 제공하고 흔들림을 저감하는 ‘E-컴포트 드라이브(E-Comfort Drive)’와 급가속 및 코너링 등의 빠른 조향 상황에서 다이내믹하고 안정적인 운동 성능을 구현하는 ‘E-다이내믹 드라이브(E-Dynamic Drive)’로 이루어진다.2.5리터 GDI 가솔린 모델은 최고출력 198마력, 최대토크 25.3kgf·m에 11.7km/ℓ의 복합연비를 달성했다.3.5리터 GDI 가솔린 모델은 최고출력 300마력, 최대 토크 36.6kgf·m의 넉넉한 힘을 발휘하면서도 10.4km/ℓ의 복합연비를 달성했으며, 3.5리터 LPG 모델은 최고출력 240마력과 32.0kgf·m의 최대토크를 갖췄다.그랜저에 적용된 가솔린 엔진은 속도와 분당 회전수(RPM)에 따라 MPI(간접분사) 또는 GDI(직접분사) 방식을 선택, 연료를 최적으로 분사해주고, 차량 운전 조건에 맞춰 냉각수온 최적화 제어를 해주는 통합 유량 제어 밸브 기술도 적용돼 최적화된 효율을 자랑한다.1.6리터 가솔린 터보 하이브리드 모델은 최고출력 180마력, 최대 토크 27.0kgf·m와 함께 18.0km/ℓ의 복합연비를 갖췄다.3.5리터 GDI 가솔린과 1.6리터 가솔린 터보 하이브리드, 3.5리터 LPG 모델은 신규엔진을 탑재해 연비와 동력성능을 모두 개선한 것이 특징이다.특히 하이브리드의 경우 출력과 토크, 연비가 각각 이전모델 대비 13.2%, 28.6%, 18.4%가 개선됐다.그랜저는 이와 함께 플래그십 세단에 걸맞은 최첨단 안전∙편의사양을 대거 탑재했다.공조 시스템에 가시 광선과 광촉매 반응으로 살균 물질 생성과 유해가스 등 냄새 유발물질을 제거해주는 광촉매 모듈을 적용했으며, 프론트 콘솔 내부에 마스크나 키, 장갑 등의 유해균을 제거해주는 UV-C 살균 기능과 시트 및 도어트림, 콘솔 등 실내 주요 부위에 항균처리 소재를 적용하는 등 실내 위생 기능 강화로 탑승객을 배려했다.12V 배터리 방전 위험 감지가 되면 전장 기능이 중단되는데, 이 때 트렁크 오픈 버튼을 누르고 약 30초 이내에 스마트키로 도어를 열고 시동을 걸 수 있다.아울러 원격 진단을 통해 고장 상태를 조기에 감지하고, 수집된 데이터에 기반해 신속∙정확한 정비 서비스를 제공하는 ‘원격진단서비스’가 현대차 최초로 그랜저에 도입된다.차량의 고장 등 기술상담이 필요한 경우, 고객센터나 마이현대앱으로 원격진단서비스를 신청하면 수집된 데이터 기반의 상담서비스를 받아볼 수도 있다.디 올  뉴 그랜저 론칭 행사서 발표중인 현대자동차 대표이사 장재훈 사장■ 기대 이상의 독보적 상품성, ‘Outclass GRANDEUR’ 캠페인 펼쳐그랜저는 사전 대기 고객이 이미 10만명을 웃돌 정도로 출시 전부터 고객들의 뜨거운 관심을 한 몸에 받고 있다.현대차는 이러한 시장의 호응에 보답하고자 기대 이상의 독보적 상품성을 표현하는 ‘아웃클래스 그랜저(Outclass GRANDEUR)’를 주제로 다양한 캠페인을 펼칠 계획이다.이날 세계 최초로 공개되는 그랜저의 론칭 필름은 국내에서 처음으로 시도되는 방송 광고 론칭 필름으로, 현대차는 방송 주요 시간대에 이를 송출해 ‘아웃클래스 그랜저’를 느껴볼 수 있도록 했다.특히 이번 론칭 영상은 기존 제품 영상 위주의 광고들과 다르게, 그랜저의 콘셉트와 라이프스타일이 담긴 다채로운 사진과 라이브 포토(움직이는 사진) 형식으로 구성돼 눈길을 끈다.또 현대차는 자동차 구독 플랫폼인 ‘현대셀렉션’을 통해 신형 그랜저의 월 구독 및 일 구독 상품을 선보인다.현대셀렉션은 전 차량을 그랜저 캘리그라피 트림으로 운영해 고객에게 그랜저의 독보적인 상품성을 경험해 볼 수 있도록 한다는 방침이다.그랜저는 15일부터 본격적인 판매를 개시하고, 전국 지점과 대리점 등 각 지역별 주요 전시 공간을 활용해 실차 체험 기회도 확대한다.현대차는 2.5리터 GDI 가솔린과 3.5리터 GDI 가솔린, 3.5리터 LPG 모델을 우선적으로 인도하고, 1.6리터 가솔린 터보 하이브리드 모델은 환경 친화적 자동차 고시가 완료되는 시점부터 순차적으로 대기 고객에게 인도할 계획이다.유원하 현대차 국내사업본부장 부사장은 “그랜저만의 브랜드를 믿고 기다려준 수많은 고객에게 진심으로 감사드린다”며 “시장의 큰 기대에 보답할 수 있도록 그랜저의 생산부터 차량 인도까지 모든 과정을 철저하게 준비할 것”이라고 말했다.저작권자 © 워크투데이 무단전재 및 재배포 금지고수연 기자다른기사 보기",http://www.worktoday.co.kr/news/articleView.html?idxno=30141
"정의선 “현대차, 2045년까지 전력 100%를 재생에너지로”",조선일보,B2면 1단,본문 추출 실패,https://www.chosun.com/economy/auto/2022/11/14/JH6MII3GCBBS3K6AW47H5GIVF4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
"현대차, 전기차 핵심소재 알루미늄 인도네시아서 안정적 공급",브레이크뉴스,2022.11.14.,본문 추출 실패,http://www.breaknews.com/933891
"현대자동차, 현대차 '디 올 뉴 그랜저' 출시...사양 및 가격 < 자동차 < 남도 플러스 < 기사본문 - 남도일보",남도일보,2022.11.14.,기자명박종대 기자입력 2022.11.14 19:04댓글 0,http://www.namdonews.com/news/articleView.html?idxno=703088
"[신차이슈] 현대차, ‘디 올 뉴 그랜저’ 출시…2.5 가솔린 3716만원부터",로이슈,기사입력:2022-11-14 11:18:40,"이미지 확대보기[로이슈 최영록 기자]  현대자동차가 자사를 대표하는 고품격 세단 ‘디 올 뉴 그랜저’를 14일 출시했다.현대차에 따르면 그랜저는 1986년 최고급 세단으로 출시된 이후부터 지금까지 대한민국 고급 세단의 명성을 이어오면서 시대를 앞서가는 혁신을 통해 국내 자동차 시장을 선도해왔다.이번에 출시한 그랜저는 대담한 존재감과 이에 걸맞은 혁신적 신기술로 빚어진 현대차의 플래그십 세단으로, 과거부터 이어져온 신뢰와 유산을 계승하면서 새로운 시대의 모빌리티로 전환되는 미래 가치를 담아 시장 기대를 뛰어넘는 독보적인 상품성을 완성했다.현대차 대표이사 장재훈 사장은 온라인으로 진행된 출시 행사에서 “수 년 동안 심혈을 기울여 개발해 온 신형 그랜저는 지난 36년간 그랜저가 쌓아온 브랜드 헤리티지 위에, 시장의 기대와 예상을 뛰어넘는 첨단 신기술과 디테일이 더해진 혁신적인 모델”이라며 “지금까지의 그랜저와는 차원이 다른 새로운 경험을 선사해드릴 것”이라고 소개했다.그랜저는 ▲2.5리터 GDI 가솔린 ▲3.5리터 GDI 가솔린 ▲3.5리터 LPG ▲1.6리터 가솔린 터보 하이브리드 등 총 4가지 엔진 라인업으로 출시된다. 가격은 개별소비세 3.5% 기준 ▲가솔린 3716만원 ▲하이브리드 4376만원 ▲LPG 3863만원부터 시작된다. 다만 1.6리터 가솔린 터보 하이브리드 모델은 세제혜택 적용 전 가격으로, 환경 친화적 자동차 고시 완료 시점 이후 공개될 예정이다.현대차 관계자는 “파워트레인 모델 별 트림 구성이 각기 달라 사양 선택이 어려웠던 기존 선택 과정의 불편함을 해소하고자 그랜저에 트림의 기본 품목을 일치시킨 ‘수평형 트림구조’를 선보였다”며 “이에 따라 고객은 원하는 사양에 알맞은 트림을 우선적으로 고른 후 원하는 파워트레인을 선택할 수 있게 돼 구매 편의성이 대폭 향상될 것으로 기대된다”고 말했다.최영록 로이슈(lawissue) 기자 rok@lawissue.co.kr",http://www.lawissue.co.kr/view.php?ud=20221114111758380567191f6c6e_12
