제목,언론사,날짜,본문,링크,감성점수
LG화학 1분기 깜짝실적… “2분기는 코로나·유가하락 변동성 커” - 헤럴드경제,헤럴드경제,입력 2020-04-28 11:46:12,본문 추출 실패,http://news.heraldcorp.com/view.php?ud=20200428000608,1
"LG화학, '신소재' 탄소나노튜브 1200톤 증설",비즈니스워치,2020.04.27,"내년 1분기까지 여수 650억원 투자리튬이온 배터리용…제품 품질 강화LG화학은 27일 내년 1분기까지 약 650억원을 투자해 여수 공장 탄소나노튜브 생산 설비를 증설한다고 밝혔다. 이로써 회사 탄소나노튜브 생산능력은 연간 500톤에서 1700톤으로 1200톤 증가한다.탄소나노튜브는 현재 존재하는 소재 가운데 강도가 가장 높다. 6각형 고리로 연결된 탄소 원자가 지름 1나노미터(1nm=10억분의 1미터)로 빽빽하게 연결됐다. 강도가 철강의 100배에 달한다. 전기와 열 전도율은 구리와 다이아몬드처럼 높다. 기존 소재의 여러 장점을 지녀 배터리, 반도체, 자동차 부품, 항공기 동체 등에 폭넓게 쓰인다고 LG화학 관계자는 설명했다.LG화학 여수 탄소나노튜브 공장 전경/사진=LG화학 제공LG화학은 탄소나노튜브를 에너지가 모두 소진돼도 재충전 가능한 리튬이온배터리 양극 도전재 용도로 쓸 계획이다. 도전재는 소형 전지와 전기차 배터리용 중대형 전지 등에 폭넓게 쓰여 전기와 전자의 흐름을 돕는다.LG화학 관계자는 ""탄소나노튜브를 양극 도전재로 사용하면 기존의 카본블랙 대비 약 10% 이상 높은 전도도를 구현해 도전재 사용량을 약 30% 줄일 수 있다""며 ""남는 공간을 필요한 양극재로 더 채워 리튬이온배터리 용량과 수명을 늘리는 것이 가능하다""고 설명했다.LG화학은 탄소나노튜브 외부 판매규모 확대도 모색한다. 북미, 유럽, 중국 등 글로벌 정보기술(IT) 업체와 완성차 업체가 대상이다. 2022년 추가 설비증설도 검토할 예정이다. 또 공사용 대형 거푸집, 건축용 고강도 콘크리트 등 탄소나노튜브를 적용할 수 있는 다양한 용도를 개발해 시장에 상용화시킬 계획이다.LG화학은 2011년부터 탄소나노튜브 독자기술 개발에 들어갔다. 2년 뒤인 2013년에는 연 20톤 규모 시험 양산 라인을 구축했다. 2014년에 전지용 소재 및 전도성 컴파운드 제품을 개발했고, 현재 탄소나노튜브 관련 분야에서만 약 250여건 이상의 특허를 보유하고 있다.노국래 LG화학 석유화학사업본부장은 ""앞으로 탄소나노튜브를 비롯해 차세대 고부가 소재 분야에서도 독자기술 및 양산 경험을 바탕으로 압도적인 시장선도 업체가 될 것""이라고 말했다.",http://news.bizwatch.co.kr/article/industry/2020/04/27/0003/naver,1
[컨콜] LG화학 “2분기 2차전지 매출 20% 이상 늘어날 것”,쿠키뉴스,2025-04-07 05:37:21,"“파면 불만”…尹 전 대통령 지지자, 광화문 광장서 자해 소동윤석열 전 대통령 파면에 불만을 품은 40대 남성이 서울 광화문 광장에서 자해를 시도하다가 경찰에 붙잡혔다.  72025-04-07 05:37:21",http://www.kukinews.com/news/article.html?no=781971,5
"[컨콜]LG화학 ""2분기 전지부문 매출, 20% 정도 올라갈 것""",아시아경제,2020.04.28.,"[아시아경제 박소연 기자]LG화학LG화학051910|코스피증권정보현재가212,000전일대비1,500등락률-0.70%거래량221,563전일가213,5002025.04.08 13:10 기준관련기사흔들려도 여전히 수출 3위…""문 닫는 게 답 아냐""[석유화학 사면초가][석유화학 사면초가]공정거래법·탄핵에 발목잡힌 지원책…이달 윤곽 나온다석유화학 부진에 갈곳 없는 에틸렌…'수출 역대 최대'[석유화학 사면초가]전 종목 시세 보기close은 28일 2020년 1분기 실적발표후 컨퍼런스콜에서 전지부문의 2분기 전망에 대해 ""매출액은 코로나19의 영향이 계속될 것""이라며 ""그래서 매출에 차질이 생기는 건 1분기보다 커질 수 있다""고 말했다. 이어 ""다만 전기차 신규 물량이 증대하고 에너지저장장치(ESS) 시장도 확대되면서 전지 본부 전체 매출은 20% 정도 올라갈 것으로 전망한다""며 ""2020년 연간으로 봐도 당초 계획보다는 차질이 있겠지만 성장 추세는 계속될 것""이라고 덧붙였다.박소연 기자 muse@asiae.co.krAD꼭 봐야할 주요뉴스6·3 '장미대선' 확정…韓대행, 마은혁 헌법재판관...마스크영역이재명 ""韓, '재판관 지명' 권한 없는데 오버…대통령 된 걸로 착각""안철수, 네 번째 대선 출마…""이재명에 승리할 수 있는 후보""(종합)""남자친구 있으면 안 되는데""…백종원 더본, 女지원자 '술자리 면접' 논란故장제원 아들 노엘 ""두렵고 막막하고 우울한 시간…더 치열하게 살아가겠다""<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",https://view.asiae.co.kr/article/2020042810343921487,1
"LG화학, 1분기 매출 7조1,157억원··· 전분기 대비 4.5% 감소 - 일렉트릭파워",일렉트릭파워,2020.04.29.,"영업이익 2,365억원으로 전분기 대비 흑자전환첨단소재 수익성 개선 등으로 시장 기대치 상회[일렉트릭파워 이재용 기자] LG화학이 올해 1분기에 매출액 7조1,157억원, 영업이익 2,365억원의 경영실적을 달성했다고 4월 28일 발표했다.매출은 전분기 대비 4.5% 감소했으나 영업이익은 전분기 대비 흑자 전환했다.전년동기 대비로는 매출은 7.5% 증가했으나 영업이익은 15.8% 감소한 실적이다.LG화학 CFO 차동석 부사장은 1분기 실적과 관련해 “석유화학 주요제품의 스프레드 개선, 전지사업 비용 절감을 통한 적자폭 축소, 첨단소재 사업구조 및 비용 효율화 등을 통해 시장 기대치를 상회하는 실적을 달성했다”며, “2분기에는 코로나 및 유가 폭락 등의 불확실성이 예상되지만 효율성 향상 등 할 수 있는 일에 대한 철저한 집중, 안정적인 현금 흐름 관리, 미래를 위한 핵심 투자 지속 등을 통해 위기관리와 동시에 성장에 대한 기반도 확대해 나갈 것”이라고 말했다.사업부문별 구체적인 1분기 실적 및 2분기 전망을 살펴보면, 석유화학부문은 매출 3조6,959억원, 영업이익 2,426억원을 기록했다.유가 하락 및 코로나 영향으로 전분기 대비 매출은 감소했으나, ABS·PVC 등 주요 제품의 스프레드 개선으로 견조한 실적을 달성했다.2분기는 코로나 확산에 따른 수요 불확실성이 있으나 저유가 기조 지속으로 인한 주요 원료의 수익성 회복 및 제품 스프레드 개선 등이 전망된다고 밝혔다.전지부문은 매출 2조2,609억원, 영업손실 518억원을 기록했다.자동차전지 신규 투자, IT 소형전지의 비수기 진입, 코로나 확산에 따른 가동 중지 등의 영향 있었으나, 비용 절감 및 수율 개선을 통해 적자 폭은 축소됐다.2분기는 코로나 영향이 불가피하나, 자동차 및 원통형 전지의 출하 확대와 폴란드 공장 수율 개선 등으로 매출 증가 및 수익성 개선이 전망된다.첨단소재부문은 매출 1조1,074억원, 영업이익 621억원을 기록했다.IT, 디스플레이 등 전방산업의 비수기 진입과 코로나 영향으로 전분기 대비 매출은 감소했으나 사업구조 및 비용 효율화를 통해 수익성은 큰 폭으로 개선됐다.생명과학부문은 매출 1,593억원, 영업이익 235억원을 기록했으며, 자회사인 팜한농은 매출 2,212억원, 영업이익 350억원을 기록했다.저작권자 © 일렉트릭파워 무단전재 및 재배포 금지이재용 기자다른기사 보기",http://www.epj.co.kr/news/articleView.html?idxno=24791,1
"LG화학, 꿈의 소재 '탄소나노튜브' 시장 공략. 여수공장에 1,200톤 증설 < 산업 < 기사본문 - 엠투데이",엠투데이,2020.04.27.,닫기,http://www.autodaily.co.kr/news/articleView.html?idxno=418669,1
"LG화학, 1분기 '깜짝' 실적… 2분기  ‘맑음’ 전망 - 녹색경제신문",녹색경제신문,2020.04.28.,ESG 기획[ESG경영][ESG 뛰는 사람들][ESG 특별기획][데이터뉴스룸][테크&디자인]피플&리더즈ESG 동향ESG트렌드환경정책NGO함께하는 경제사회공헌지배구조 개선지금 해외는오피니언데스크 ESG칼럼기자수첩특별기고화제의 ESG 신간디지털 혁신AI&빅데이터뉴디바이스&소프트웨어5G&6G 모바일VR AR & 게임우주&사이언스디지털금융&핀테크블록체인&가상화폐전체기사,http://www.greened.kr/news/articleView.html?idxno=249229,1
"LG화학, 꿈의 소재 ‘탄소나노튜브’ 1200톤 증설한다",에너지경제,2020.04.27.,29억 체납에 795억 주식 압류된 류광지 금양 회장,http://www.ekn.kr/news/article.html?no=496055,5
"“LG화학, 2분기 본격 실적 개선세 이어질 전망”- DB금융투자",한국금융신문,2020.04.29.,본문 추출 실패,http://www.fntimes.com/html/view.php?ud=2020042909135498836c0eb6f11e_18,5
"산은·수은·농협, LG화학과 5억5000만유로 그린론 계약",파이낸셜뉴스언론사 선정,2020.04.23.,본문 추출 실패,http://www.fnnews.com/news/202004231558077138,1
"LG화학, 꿈의 소재 ‘탄소나노튜브’ 1200톤 증설… 650억원 투자",천지일보,2020.04.27.,2025-04-08 12:26 (화)전체메뉴기사검색기사검색또는와검색닫기상세검색창간16주년,http://www.newscj.com/news/articleView.html?idxno=732194,5
"LG화학, 탄소나노튜브 1200톤 증설...압도적 선도업체 겨냥 - 베이비타임즈",베이비타임즈,2020.04.27.,"LG화학이 꿈의 소재 탄소나노튜브를 1200톤 증설한다.[베이비타임즈=김완묵 기자] LG화학이 꿈의 소재로 불리는 탄소 나노튜브(Carbon Nanotube) 공장 증설을 통해 시장 공략에 본격 나선다.LG화학은 27일 내년 1분기까지 약 650억원을 투자해 여수공장에 탄소 나노튜브(CNT) 1200톤을 증설한다고 밝혔다. 증설이 완료되면 LG화학은 기존 500톤과 합쳐 총 1700톤의 생산능력을 확보하게 된다. 탄소 나노튜브는 전기와 열전도율이 구리 및 다이아몬드와 동일하고 강도는 철강의 100배에 달하는 차세대 신소재다. 기존의 소재를 훨씬 뛰어넘는 특성 때문에 배터리, 반도체, 자동차 부품, 항공기 동체 등에 폭넓게 쓰인다.LG화학은 이번 증설이 글로벌 전기차 시장 성장과 더불어 최근 리튬이온배터리의 양극 도전재 용도로 급성장하는 탄소 나노튜브 시장을 공략하기 위한 것이라고 밝혔다. 도전재는 전기 및 전자의 흐름을 돕는 소재로 소형 및 중대형 리튬이온배터리 전반의 첨가제로 쓰인다. 특히 니켈, 코발트, 망간 등의 활물질로 구성된 양극재 내에서 리튬이온의 전도도를 높인다.탄소 나노튜브를 양극 도전재로 사용하면 기존의 카본블랙 대비 약 10% 이상 높은 전도도를 구현한다. 이를 통해 도전재 사용량을 약 30% 줄이고 그 공간을 필요한 양극재로 더 채워 리튬이온배터리의 용량과 수명을 늘릴 수 있다.이런 장점 덕분에 탄소 나노튜브 수요는 2019년 3000톤에서 2024년 1만3000톤 규모로 연평균 34%의 폭발적인 성장세를 기록할 것으로 예상되고 있다. 특히 LG화학은 전기차 배터리 세계 시장 선도업체로 탄소 나노튜브를 리튬이온배터리에 적극 적용해 제품 경쟁력을 더욱 강화한다는 방침이다. 이와 함께 북미, 유럽, 중국 등 글로벌 IT소재 업체 및 완성차 업체를 대상으로 판매를 늘려나갈 계획이어서 2022년에는 추가적인 증설도 검토하고 있다.LG화학은 지난 2011년 탄소 나노튜브 독자 기술 개발을 위한 R&D에 착수해 2013년 20톤 규모의 파일럿 양산 라인을 구축했다. 2014년에는 전지용 소재 및 전도성 컴파운드 제품을 개발했고 탄소 나노튜브 관련 분야에서 250여 건의 특허를 보유하고 있다. 특히 자체 개발한 세계 최대 규모의 유동층 반응기를 통해 대량 생산체제를 구축했다.노국래 석유화학사업본부장은 “글로벌 소재 경쟁에서 살아남기 위해서는 차별화된 기술력과 제품으로 시장을 선도해야 된다”며 “향후 탄소 나노튜브를 비롯해 차세대 고부가 소재 분야에서도 독자 기술 및 양산 경험을 바탕으로 압도적인 시장선도 업체가 될 것”이라고 말했다.저작권자 © 베이비타임즈 무단전재 및 재배포 금지김완묵 기자다른기사 보기",http://www.babytimes.co.kr/news/articleView.html?idxno=35370,4
"LG화학, 꿈의 소재 '탄소나노튜브' 증설…글로벌 수위권 생산업체로",중앙일보,입력,"LG화학이 '꿈의 소재'로 불리는 탄소나노튜브(Carbon Nanotubeㆍ이하 CNT) 생산공장을 증설하고, 글로벌 시장 공략에 나선다.LG화학은 27일 내년 1분기까지 약 650억원을 투자해 전남 여수공장의 탄소나노튜브(CNT) 생산 용량을 1200t 증설한다고 밝혔다. 증설이 완료되면 LG화학은 총 1700t의 CNT 생산능력을 갖추게 된다. 현재 글로벌 수위권 업체들의 CNT 생산 용량은 약 1000t 전후다.탄소나노튜브는 전기차용 배터리의 핵심 소재다. 전기와 열전도율이 구리 및 다이아몬드와 동일하고 강도는 철강의 100배에 달한다. 기존 소재를 뛰어넘는 특성 덕에 배터리는 물론 반도체와 자동차 부품, 항공기 동체 등에 폭넓게 쓰인다.LG화학의 여수 탄소나노튜브 공장 전경. 사진 LG화학LG화학은 이번 증설 배경과 관련, “글로벌 전기차 시장 성장과 더불어 최근 리튬이온배터리의 핵심 부품인 양극 도전재(Conductive Additiveㆍ전기 및 전자의 흐름을 돕는 소재) 용도로 급성장 중인 탄소나노튜브 시장을 공략하기 위한 것”이라고 설명했다.글로벌 전기차 시장을 중심으로 한 탄소나노튜브 수요는 지난해 3000t 규모에서 오는 2024년에는 1만3000t 규모로 커질 것이란 전망이다.이 회사 노국래 석유화학 사업본부장은 “글로벌 소재 경쟁에서 살아남기 위해서는 차별화된 기술력과 제품으로 시장을 선도해야 한다”며 “앞으로 탄소나노튜브는 물론, 차세대 고부가 소재 분야에서도 독자기술 및 양산 경험을 바탕으로 압도적인 시장선도 업체가 될 것”이라고 말했다.이수기 기자 lee.sooki@joongang.co.kr",https://www.joongang.co.kr/article/23763827,5
"LG화학, 금융권과 손잡고 7000억 원 규모 대출 계약 체결 - 경제 | 기사 - 더팩트",더팩트언론사 선정,2020.04.23.,본문 추출 실패,http://news.tf.co.kr/read/economy/1791149.htm,1
"[컨콜]LG화학 ""하반기 6000억 규모 자금조달 계획""",아시아경제,2020.04.28.,"[아시아경제 박소연 기자] LG화학은 28일 2020년 1분기 실적발표 후 컨퍼런스콜에서 ""1분기 2조7000억원 수준의 차입이 있었고 4월 추가적으로 7000억원을 확보해 총 3조4000억원의 자금을 조달했다""며 ""동시에 비사업성 자산을 매각하며 4000억원의 자금을 추가 확보했다""고 말했다. 이어 ""하반기에는 올해 만기가 도래하는 차입금 6000억원 정도의 자금을 조달할 계획""이라며 ""그 외 특별한 조달할 계획은 없다""고 덧붙였다.박소연 기자 muse@asiae.co.krAD꼭 봐야할 주요뉴스6·3 '장미대선' 확정…韓대행, 마은혁 헌법재판관...마스크영역이재명 ""韓, '재판관 지명' 권한 없는데 오버…대통령 된 걸로 착각""안철수, 네 번째 대선 출마…""이재명에 승리할 수 있는 후보""(종합)""남자친구 있으면 안 되는데""…백종원 더본, 女지원자 '술자리 면접' 논란故장제원 아들 노엘 ""두렵고 막막하고 우울한 시간…더 치열하게 살아가겠다""<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",https://view.asiae.co.kr/article/2020042811120048556,1
LG화학 탄소나노튜브 시장 공략 나선다 - 충청타임즈,충청타임즈,2020.04.27.,"내년 1분기까지 650억 투입 여수공장에 1200톤 증설완료땐 1700톤 확보 … 리튬이온배터리 용량·수명 향상전기차 배터리 소재용 중심 연평균 34% 성장세 전망LG화학이 꿈의 소재로 불리는 탄소나노튜브(Carbon Nanotube) 시장 공략에 나선다.LG화학은 27일 내년 1분기까지 약 650억원을 투자해 여수공장에 탄소나노튜브(CNT) 1200톤을 증설한다고 밝혔다.증설이 완료되면 LG화학은 기존 500톤과 합쳐 총 1700톤의 생산능력을 확보하게 된다.탄소나노튜브는 전기와 열 전도율이 구리 및 다이아몬드와 동일하고 강도는 철강의 100배에 달하는 차세대 신소재다. 기존의 소재를 훨씬 뛰어넘는 특성 때문에 배터리, 반도체, 자동차 부품, 항공기 동체 등에 폭넓게 사용된다.LG화학은 이번 증설 배경과 관련해 “글로벌 전기차 시장 성장과 더불어 최근 리튬이온배터리의 양극 도전재(導電材:Conductive Additive) 용도로 급성장하는 탄소나노튜브 시장을 공략하기 위한 것”이라고 말했다.도전재는 전기 및 전자의 흐름을 돕는 소재로 소형 및 중대형 리튬이온배터리 전반의 첨가제로 쓰인다. 특히 니켈, 코발트, 망간 등의 활물질로 구성된 양극재 내에서 리튬이온의 전도도(Conductivity)를 높인다.탄소나노튜브를 양극 도전재로 사용하면 기존의 카본블랙 대비 약 10% 이상 높은 전도도를 구현해 도전재 사용량을 약 30% 줄이고, 그 공간을 필요한 양극재로 더 채워 리튬이온배터리의 용량과 수명을 늘릴 수 있다.이러한 특성 때문에 글로벌 전기차 시장을 중심으로 탄소나노튜브 수요는 지난해 3000톤 규모에서 2024년 1만3000톤 규모로 연평균 34%의 폭발적인 성장세를 기록할 것으로 전망되고 있다.특히 LG화학은 전기차 배터리 세계 시장 선도업체로 탄소나노튜브를 리튬이온배터리에 적극 적용해 제품 경쟁력을 더욱 강화한다는 방침이다.이와 함께, 북미, 유럽, 중국 등 글로벌 IT소재 업체 및 완성차 업체를 대상으로 판매 규모를 점차 늘려나갈 계획이며 2022년에는 추가적인 증설도 검토할 예정이다.이번 투자를 통해 LG화학은 석유화학 분야에서 추진 중인 차별화된 기술 기반의 제품구조 고도화 전략에 박차를 가할 수 있게 됐다.LG화학은 2011년 탄소나노튜브 독자기술 개발을 위한 R&D에 본격 착수해 2013년 20톤 규모의 파일럿 양산 라인을 구축했다. 2014년에 전지용 소재 및 전도성 컴파운드 제품을 개발했고, 현재 탄소나노튜브 관련 분야에서만 약 250여건 이상의 특허를 보유하고 있다.노국래 석유화학사업본부장은 “글로벌 소재 경쟁에서 살아남기 위해서는 차별화된 기술력과 제품으로 시장을 선도해야 된다”며 “향후 탄소나노튜브를 비롯해 차세대 고부가 소재 분야에서도 독자기술 및 양산 경험을 바탕으로 압도적인 시장선도 업체가 될 것”이라고 말했다./엄경철 선임기자저작권자 © 충청타임즈 무단전재 및 재배포 금지엄경철 기자다른기사 보기",http://www.cctimes.kr/news/articleView.html?idxno=610959,4
"LG화학, 내년 1분기까지 여수공장에 탄소나노튜브 1,200톤 증설",기계신문,2020.04.27.,기자명이은아 기자입력 2020.04.27 12:47,http://www.mtnews.net/news/view.php?idx=8281,1
"[컨콜] LG화학 ""전지부문 연간 매출 예상치 당초보다 10~15% 빠질 것""",이투데이,2020.04.28.,본문 추출 실패,http://www.etoday.co.kr/news/section/newsview.php?idxno=1889014,2
"[특징주] LG화학, 1분기 실적 선방에 상승세",EBN,04.08 13:29,"많이 본 기사[단독] 삼성 HBM3E 12단, 엔디비아 테스트 재심사...5월 통과 가능성?""강경했던"" 현대제철 노조, 총파업 '보류' 왜라인야후, 日 행정지도 마지막 보고서 제출 …""보안 강화""[단독] LG전자, AMD 손잡는다…'그램'에 '라이젠 CPU' 첫 탑재[메가캐리어 빛과 그림자] 대한항공, 韓 항공사 견제 시작?…독과점 우려 '증폭'고용승계 집착 노조, 사라진 퇴로…MG손보 韓보험사 첫 청산 가나[Car & Now] 테슬라 '모델 Y' 부분 변경 모델 출시…한정판 모델 포함 등이화공영, 회생절차 개시 신청… 2일부터 주식 매매 정지[기자수첩] MG손보 사태로 본 '계약자·노조·주주·금융당국'살 빼려다 머리 빠진다…‘비만약’ 위고비, 탈모 위험 52%↑",http://www.ebn.co.kr/news/view/1431457/?sc=naver,4
"'철강 100배 강도' 탄소나노튜브..LG화학, 내년 1분기까지 1200t 증설 | 한국정경신문",한국정경신문,2020.04.27.,"LG화학 여수 탄소나노튜브 공장 (자료=LG화학)[한국정경신문=최태원 기자] LG화학이 차세대 신소재인 탄소나노튜브(Carbon Nanotube)를 1200t 증설한다.LG화학은 2021년 1분기까지 전남 여수공장에 약 650억원을 투자해 탄소나노튜브를 증설한다고 27일 밝혔다. 기존 500t에 증설을 통해 총 1700t의 생산능력을 확보할 전망이다.탄소나노튜브는 전기와 열 전도율이 구리, 다이아몬드와 동일하지만 강도는 철강의 100배에 달한다. 기존 소재를 월등하게 뛰어넘는 특성을 가지고 있어 배터리, 반도체, 자동차부품, 항공기 동체 등 사용할 수 있는 분야가 많다.탄소나노튜브는 전기차용 리튬이온배터리의 양극 도전재(전기·전자 흐름을 돕는 소재) 용도로도 쓰인다.LG화학은 탄소나노튜브를 양극 도전재로 사용할 경우 기존 카본블랙보다 전도도가 약 10% 높아 도전재 사용량을 30% 줄이는 것은 물론 그 공간을 필요한 양극재로 채워 배터리의 용량·수명을 늘릴 수 있다고 설명했다.관련 업계는 글로벌 전기차 시장을 중심로 탄소나노튜브 수요가 지난해 3000t 규모에서 오는 2024년에는 1만3000t 규모로 연 평균 34%의 성장세를 기록할 것으로 전망하고 있다.LG화학은 ""급성장하는 탄소나노튜브 시장 공략을 위해 증설을 결정했다""며 ""전기차 배터리 선도업체로서 탄소나노튜브를 리튬이온배터리에 적극 적용해 제품 경쟁력을 강화할 것""이라고 밝혔다. 아울러 탄소나노튜브를 적용한 리튬이온배터리 판매를 전 세계 시장에서 점차 늘려 오는 2022년에는 추가 증설도 검토한다는 방침이다.LG화학은 지난 2011년 탄소나노튜브 독자 기술 연구·개발(R&D)에 착수해 2013년 20t 규모의 파일럿 양산 라인을 구축했다. 이어 2014년에는 전지용 소재·전도성 컴파운드 제품을 개발했고 현재는 탄소나노튜브 관련 분야에서 특허만 역 250건을 보유하고 있다.노국래 석유화학사업본부장은 ""글로벌 경쟁에서 살아남기 위해서는 차별화한 기술력과 제품으로 시장을 선도해야 한다""고 강조하며 ""탄소나노튜브를 비롯한 차세대 고부가 소재 분야에서 독자 기술과 양산 경험을 바탕으로 시장을 이끌겠다""고 덧붙였다.00한국정경신문
                                    최태원 기자ctw0104@gmail.com최태원 기자의 기사 더보기저작권자 <지식과 문화가 있는 뉴스> ⓒ한국정경신문  |  상업적 용도로 무단 전제, 재배포를 금지합니다.섹션 많이 본 기사1한종희 삼성전자 부회장, 심장마비로 사망..경영 체제 변화 불가피임윤희 기자재계2“현금 확보가 우선” 롯데지주, 계열사 실적 부진에도 배당율 늘리는 이유서재필 기자재계3이부진 사장, 주총 패션으로 호텔신라 이미지 대변임윤희 기자재계4이재용 회장, 사법 리스크 해소 후 경영 가속화..AI 협력·반도체 현장 점검임윤희 기자재계5HD현대 정기선 수석부회장 다보스 ‘3년 개근’..글로벌 리더십 강화임윤희 기자재계6이재용 ‘부당합병·회계부정 혐의’ 2심도 무죄임윤희 기자재계댓글0개의 댓글- 욕설, 비방, 광고, 선정적인 게시물 등은 예고 없이 삭제 될 수 있습니다.등록처리중..0 | 500섹션 주요기사1이재용 삼성전자 회장, 일본 출장으로 글로벌 경영 행보 가속화임윤희 기자재계2고려아연 최윤범 회장, 경영권 지켰다..이사회 구성 ‘11 대  4’윤성균 기자재계3한종희 삼성전자 부회장, 심장마비로 사망..경영 체제 변화 불가피임윤희 기자재계4정용진 회장 “나부터 변화” 강조..골프·SNS 끊고 그룹 변화 의지서재필 기자재계5최태원호 대한상의, 트럼프 행정부 만난다..정부간 경제협력 논의서재필 기자재계6신동빈 회장, 롯데웰푸드 국내·외 사업 직접 살핀다..출장 직후 본사 방문서재필 기자재계7검찰, 이재용 회장 '무죄' 판결에 상고 고심임윤희 기자재계8이재용 회장, 사법 리스크 해소 후 경영 가속화..AI 협력·반도체 현장 점검임윤희 기자재계9이재용 ‘부당합병·회계부정 혐의’ 2심도 무죄임윤희 기자재계10김범석 의장, 쿠팡 노동문제 관련 청문회 불참..여야 “강하게 유감”서재필 기자재계섹션 최신기사1최태원 SK그룹 회장 “사회문제 해결 위한 협력과 집합적 임팩트 필요”임윤희 기자재계2이재용 삼성전자 회장, 일본 출장으로 글로벌 경영 행보 가속화임윤희 기자재계3고려아연 최윤범 회장, 경영권 지켰다..이사회 구성 ‘11 대  4’윤성균 기자재계4고려아연, SMH 영풍 지분 늘려 의결권 제한…영풍·MBK “불법·탈법행위”윤성균 기자재계5이재용 삼성전자 회장, 시진핑 만났다..中 ‘글로벌 CEO 회동’ 참석윤성균 기자재계6한종희 삼성전자 부회장, 심장마비로 사망..경영 체제 변화 불가피임윤희 기자재계7이재용 회장, 샤오미 전기차 공장 방문..“레이쥔 CEO와 협력 논의”임윤희 기자재계8이부진 사장, 주총 패션으로 호텔신라 이미지 대변임윤희 기자재계뉴스 파노라마아래의 컨텐츠는 본지의 편집 방향과 관계 없음을 알려드립니다.유정복 시장, 서해수호의날 기념식 열고 호국영웅 기려수도시민경제NZSI INDEX : 1,028.36 (2024.12.24 /△1.192%)제보팀장7만 지식 인플루언서, 직장인들 고민 해결하다보니... 온라인에서 새로운 길 열어메이커스저널먼 치킨? 어디로? 중고시장 정책 내분 테슬라 밀월 강경 거센 저항…월가 투매 앞에 ""잠재고객 10% 잃어"" 호소까지믜디일보거제서 국내 첫 스테고사우루스 공룡 발자국 화석 발견Sport Snack북극항로 개발 전쟁위클리 리더스[아동신간] 데뷔 10주년 안녕달 작가 그림책 '별에게'아시아 인스파이서 저널""K-교통인프라, 중앙아시아로 뻗는다""하우징포스트진교훈 강서구청장, 강원동계청소년올림픽 성공 개최 기원도시경제뉴스CAPM 만 알면 백전백승?비즈체크부산 의료관광객 3만명 돌파…비수도권 1위한국유엔신문KGM, 토레스 하이브리드 출시 기념 봄맞이 차량점검 서비스월간 동아[편집인 강연] 에니어그램이란성격자본신문4월 1일 9시부터 택시요금도 파주페이로 결제 가능경기시니어뉴스이태리 볼로냐 코스모프로프 2025 역대 최대 규모 한국관 운영뉴스문화4월 제주피플즈나우성남시한마음복지관 8명의 발달장애 작가들 ‘봄을 그리다 展’ 개최뮤즈씬성남 ‘베이비부머 행복캠퍼스’, 차량 정비 관리 등 16개 과목 운영신중년중앙회신문제26회 전주국제영화제 개막와우투데이이재준 수원시장, ""수원시가 보건의료인의 짐 함께 나누며 지혜 모아 가겠다""뉴스영충남정보문화산업진흥원, 충남도내 음악 유관학과 연합공연 ‘KILLING UNIVERSE’ 성황리에 마무리충남비즈Lim's Literary Stroll: Episode 7아리랑컬처커넥트트럼프 상호관세 부과에 글로벌 공급망 ‘대혼돈’이코노미 트리뷴[단독] 춘천 상중도서 석기시대 유물 나와삼태극천안 백석동 100억대 세입자 사기 사건 판결문 전문 ... 공개(公開)시사종합뉴스📚 신문 구독, 이제 돈 들이지 말고 ‘프레스리더’로 무료로 즐기자!미디어하우트럼프, 우크라이나 휴전 타임라인 수정: 부활절까지 협상 성사 목표프라임타임즈[기획/취재] ""신뢰와 변화의 날갯짓"" 가톨릭관동대학교 김진훈 총학생회장 인터뷰청년내일윤석열 전 대통령 기록물 논란…‘내란 증거 은폐 방지법’ 발의공정미디어뉴스춥고 길었던 123일,  헌재 尹대통령 만장일치 탄핵 인용 ‘헌법수호 의무 저버렸다’뉴퍼블릭이번 주 카자흐스탄의 주요 소식 정리 [카자흐스탄]한중앙아뉴스마하 5를 뚫다: 영국, 극초음속 미사일 엔진 시험 성공뉴스에프엔‘분황 원효의 사상과 선무도의 접점과 통로’ 학술대회불교일보",http://kpenews.com/View.aspx?No=830064,1
